deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
real_399.wav,4.085393,3.2528875,4.2559547,4.0059757,4.337891,NISQAv2
fake_2111.wav,2.5978346,2.7393086,3.5165513,2.8036356,3.4246142,NISQAv2
fake_227.wav,3.4333968,3.6045673,4.158472,3.2163208,3.942511,NISQAv2
real_1707.wav,4.101801,3.6766825,4.242148,3.917038,4.4191203,NISQAv2
fake_1418.wav,3.3189633,2.2620525,4.2275696,3.3863275,3.9728448,NISQAv2
real_2568.wav,3.5014055,3.57036,3.419976,3.5340495,4.065906,NISQAv2
fake_541.wav,2.7709153,2.3631625,3.7322013,2.5464282,3.4966934,NISQAv2
real_1061.wav,3.6634488,3.2446382,4.2889028,3.8679678,4.115453,NISQAv2
real_400.wav,4.0136175,2.5932374,4.5217094,3.9478767,4.2275863,NISQAv2
fake_1395.wav,3.285168,3.4891696,3.9157507,2.9452975,3.555639,NISQAv2
real_2583.wav,3.887954,3.4458694,4.324897,3.8673701,4.14803,NISQAv2
real_1934.wav,4.1121073,4.106633,3.5409439,3.7055027,4.1605773,NISQAv2
real_366.wav,3.872696,3.127632,4.5258217,3.8948643,3.2920086,NISQAv2
real_1920.wav,3.0960886,3.256327,2.6289043,2.9822419,3.555078,NISQAv2
real_372.wav,3.8966172,3.6634414,4.379044,3.862272,4.1752057,NISQAv2
fake_1381.wav,3.3582013,3.5976598,3.8143256,3.2383268,3.617907,NISQAv2
real_2597.wav,4.034787,3.7783048,4.367108,3.7559044,4.2533107,NISQAv2
real_414.wav,4.25263,3.8505847,4.4349165,3.99778,4.3592362,NISQAv2
fake_596.wav,3.1360743,3.565379,3.9502025,2.7670395,3.6965141,NISQAv2
real_1908.wav,4.043169,3.563225,4.3976936,3.9468958,4.144879,NISQAv2
fake_582.wav,3.0473216,3.5613253,3.8298404,2.6550112,3.5649328,NISQAv2
real_428.wav,4.2201905,3.9440835,4.4308505,3.9058902,4.4543014,NISQAv2
fake_1222.wav,3.2177575,2.4907482,4.0147166,3.2238524,3.7652287,NISQAv2
real_2434.wav,4.210647,4.1590014,4.475096,3.9274027,4.297155,NISQAv2
real_1883.wav,2.869353,3.6118462,2.3150651,2.7828624,3.7247393,NISQAv2
fake_1544.wav,2.5772917,3.1519358,3.234934,2.3761408,3.3701723,NISQAv2
real_2352.wav,4.5763264,4.3375096,4.620834,4.2428555,4.518411,NISQAv2
fake_1550.wav,1.9998013,2.5933459,2.8247359,2.4751008,3.1052496,NISQAv2
real_2346.wav,4.6203403,4.3706183,4.6264277,4.2340055,4.5502143,NISQAv2
real_1897.wav,3.9130716,3.871186,4.387167,3.999977,4.1623836,NISQAv2
fake_2059.wav,3.0147219,3.9187825,3.9198117,2.5360615,3.6564682,NISQAv2
real_1129.wav,3.0248482,3.255823,3.6437464,2.700242,3.6757674,NISQAv2
fake_409.wav,1.6012267,1.9053226,2.791309,2.406244,2.56411,NISQAv2
fake_1236.wav,3.1357381,2.409513,4.0545273,2.846257,3.6701953,NISQAv2
real_2420.wav,3.5636113,3.0227883,4.1721,3.6575747,3.8220155,NISQAv2
fake_421.wav,1.8365732,1.9527893,3.1633863,2.4158409,2.757618,NISQAv2
